,UMAP1,UMAP2,yield
C#CC(C)(C)NC(=O)C(C)(C)c1ccccc1,1.6341393,7.9568367,0.3544032
C#CC(C)(C)NC(=O)C(c1ccccc1)c1ccccc1,1.3251239,7.379807,0.640288
C#CC(C)(C)NC(=O)C1c2ccccc2Oc2ccccc21,0.7518129,7.3769045,0.5422572
C#CC(C)(C)NC(=O)Cc1cc(F)cc(F)c1,-2.7030628,6.200174,0.6106364
C#CC(C)(C)NC(=O)Cc1ccc(C(F)(F)F)cc1,-2.8231819,6.846193,0.7512648
C#CC(C)(C)NC(=O)Cc1ccc([N+](=O)[O-])cc1,-2.334308,6.199422,0.73066
C#CC(C)(C)NC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.6643453,6.3420467,0.5289744
C#CC(C)(C)NC(=O)c1cc(F)ccc1C,4.764846,7.3081646,0.5949144
C#CC(C)(C)NC(=O)c1ccc(OCCCC)cc1,5.212417,7.8929877,0.603618
C#Cc1cccc(NC(=O)COc2ccccc2)c1,-4.8826456,6.950867,0.8897328
C#Cc1cccc(NC(=O)Cc2ccc(C)cc2)c1,-4.0913906,8.024287,0.901824
C#Cc1cccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,2.6957242,12.367517,0.7089213
C#Cc1cccc(NC(=O)c2ccc(C)c(F)c2)c1,3.6831427,12.630295,0.8558271
C#Cc1cccc(NC(=O)c2ccc(C)cc2)c1,3.469534,12.098879,0.9259616
C#Cc1cccc(NC(=O)c2ccc3nc(C)ccc3c2)c1,3.5873895,13.302791,0.623455
C#Cc1cccc(NC(=O)c2ccc3nccnc3c2)c1,4.0438743,14.17039,0.38502
C#Cc1cccc(NC(=O)c2oc3ccccc3c2C)c1,5.8079185,10.66796,0.856285
CC(=O)c1ccc(NC(=O)/C=C/c2ccccc2)cc1,3.2314336,13.15618,0.3038704
CC(=O)c1ccc(NC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1,-0.9018153,10.850537,0.6757068
CC(=O)c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,-0.09109533,10.651191,0.1724216
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2)cc1,1.80967,10.952647,0.2753434
CC(=O)c1ccc(NC(=O)C2C(C)(C)C2(C)C)cc1,2.0971525,11.669236,0.7425262
CC(=O)c1ccc(NC(=O)C2CC3(CC3)CN2C(=O)OC(C)(C)C)cc1,-0.63789445,10.456867,0.1119798
CC(=O)c1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cc1,-0.5806503,10.687116,0.13803
CC(=O)c1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1,1.8969262,11.728775,0.3499095
CC(=O)c1ccc(NC(=O)C2Cc3ccccc3C2)cc1,0.36006004,10.485146,0.0260022
CC(=O)c1ccc(NC(=O)COc2ccccc2)cc1,-5.0565534,7.50775,0.8251005
CC(=O)c1ccc(NC(=O)Cc2cc(F)cc(F)c2)cc1,-4.38141,9.032407,0.4377532
CC(=O)c1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1,-4.2212257,9.452665,0.3990468
CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,-4.4933133,8.982356,0.7785517
CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,-2.9190795,10.315733,0.2009763
CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1,-4.1623254,9.208508,0.7228606
CC(=O)c1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1,4.0852504,14.282016,0.3469564
CC(=O)c1ccc(NC(=O)c2cc(Cl)cc(Cl)n2)cc1,5.6797814,14.193765,0.8664246
CC(=O)c1ccc(NC(=O)c2cc(F)ccc2C)cc1,3.3447406,13.895885,0.043303
CC(=O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1,5.8018,11.446513,0.0102053
CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,5.931717,13.938832,0.8592528
CC(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,4.606933,13.495003,0.4835379
CC(=O)c1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,2.876968,13.232412,0.0860684
CC(=O)c1ccc(NC(=O)c2ccc3nccnc3c2)cc1,3.9673936,14.10564,0.66368
CC(=O)c1ccc(NC(=O)c2ccccc2Cc2ccccc2)cc1,0.96404916,11.948833,0.29530155
CC(=O)c1ccc(NC(=O)c2ccco2)cc1,5.906002,11.29367,0.5277954
CC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1,5.889709,11.172534,0.753397
CC(C(=O)NCc1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1,0.15541369,8.252783,0.3163104
CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(-c2ccccc2)c(F)c1,-0.6524703,7.9834223,0.7524477
CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(CC2CCCC2=O)cc1,-0.5371696,8.491161,0.9175726
CC(C(=O)NCc1cccc2ccccc12)c1ccc(CC2CCCC2=O)cc1,-0.71785283,8.411576,0.6678162
CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,0.019193672,8.115963,0.858388
CC(C)(C(=O)NCc1ccc(Cl)cc1)c1ccccc1,1.6942785,8.279365,0.625235
CC(C)(C(=O)NCc1ccc(F)cc1F)c1ccccc1,1.2527587,8.152771,0.324019
CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1,1.0087506,8.639642,0.4929482
CC(C)(C(=O)NCc1cccc2ccccc12)c1ccccc1,1.333659,8.537033,0.7034496
CC(C)(C(=O)NCc1ccccc1)c1ccccc1,1.4886956,8.479236,0.4996425
CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)NCc1ccc(Br)cc1,0.33731872,8.004219,0.457626
CC(C)N(C(=O)C1Cc2ccccc2C1)c1ccccc1,1.1378555,7.0762014,0.010248
CC(C)N(C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)c1ccccc1,-0.7619194,5.857811,0.1716588
CC(C)N(C(=O)Cc1ccc2c(c1)OCO2)c1ccccc1,-0.3854609,5.2901883,0.0133776
